 -12899.405 	 65886.855 
 -12876.448 	 67691.033 
 -12941.162 	 67669.407 
   -12948.7 	 67731.212 
 -13008.835 	 67821.615 
 -12973.766 	 67808.352 
 -12960.313 	 67794.208 
 -13010.789 	 67846.869 
 -13020.187 	 67852.226 
 -12987.474 	  67829.92 
 -12981.083 	 67870.314 
 -13020.344 	 67879.182 
 -13005.082 	 67871.909 
 -13012.604 	 67873.729 
 -12983.285 	 67881.962 
 -13019.831 	 67883.884 
 -13021.961 	 67858.721 
 -12993.524 	  67893.73 
 -13005.379 	 67884.127 
 -13012.733 	 67870.958 
 -13019.458 	 67919.367 
 -13012.292 	 67891.626 
 -13012.686 	 67888.113 
 -13023.534 	 67900.795 
 -13018.155 	 67936.641 
 -13012.437 	  67893.21 
 -13021.005 	 67886.926 
 -13011.637 	  67902.25 
 -13012.755 	 67887.761 
 -13006.731 	 67871.043 
 -13011.201 	 67885.026 
 -12997.104 	 67886.396 
 -12989.355 	 67828.789 
 -12980.103 	 67826.811 
 -12972.542 	 67817.012 
 -12962.317 	  67785.32 
 -12960.355 	 67759.307 
 -12946.341 	 67749.553 
 -12944.755 	  67744.66 
 -12946.452 	 67714.052 
 -12945.111 	 67769.104 
 -12960.861 	 67783.514 
 -12980.613 	 67793.596 
 -12986.914 	 67870.826 
 -13002.361 	 67865.404 
 -13021.202 	 67878.822 
  -13012.21 	 67932.931 
 -13016.091 	 67917.215 
 -13021.083 	 67908.217 
 -13026.141 	 67905.943 
 -13026.103 	 67934.147 
  -13029.48 	 67897.468 
  -13019.29 	 67902.118 
 -13024.368 	 67921.946 
 -13021.817 	 67878.463 
 -13013.229 	 67899.219 
 -13019.061 	  67902.05 
 -13014.787 	  67851.38 
 -13004.123 	 67870.002 
 -13007.971 	 67881.429 
  -12994.29 	 67873.644 
