# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
4505 0.130768 0.0237222 -0.0478063 0.106684
4510 0.140296 0.0139535 -0.0665888 0.0876609
4515 0.148004 0.00131867 -0.0850625 0.0642601
4520 0.15386 -0.0127426 -0.101684 0.0394335
4525 0.158076 -0.0267928 -0.115067 0.0162155
4530 0.16084 -0.039326 -0.123482 -0.00196824
4535 0.16206 -0.0485569 -0.125173 -0.0116693
4540 0.161331 -0.0527653 -0.118888 -0.0103227
4545 0.158118 -0.0509461 -0.104273 0.002899
4550 0.151738 -0.0429288 -0.0821225 0.0266869
4555 0.141483 -0.0295468 -0.0540139 0.0579218
4560 0.126507 -0.0129275 -0.0218499 0.0917298
4565 0.106394 0.00383216 0.0126469 0.122873
4570 0.0816682 0.0175894 0.0482977 0.147555
4575 0.0533815 0.0257634 0.0846437 0.163789
4580 0.0231548 0.026686 0.121563 0.171404
4585 -0.00693999 0.0200403 0.158968 0.172069
4590 -0.0348445 0.00706559 0.196344 0.168565
4595 -0.0593308 -0.00976004 0.232576 0.163485
4600 -0.0802011 -0.0273945 0.265593 0.157997
4605 -0.0979872 -0.0430324 0.292161 0.151141
4610 -0.113165 -0.054653 0.309037 0.141219
4615 -0.125465 -0.0613084 0.313681 0.126908
4620 -0.133795 -0.0625568 0.304758 0.108406
4625 -0.13706 -0.0581657 0.282559 0.0873328
4630 -0.134282 -0.0484324 0.248854 0.0661399
4635 -0.124296 -0.0336663 0.206182 0.0482204
4640 -0.10624 -0.0138563 0.157237 0.0371412
4645 -0.0805169 0.010501 0.104541 0.0345249
4650 -0.0485453 0.0378836 0.0507808 0.0401191
4655 -0.0127484 0.0660161 -0.000967771 0.0522999
4660 0.0239093 0.0927032 -0.0479277 0.0686848
4665 0.0585214 0.116521 -0.0876284 0.0874143
4670 0.0886063 0.136781 -0.118272 0.107115
4675 0.11246 0.15301 -0.138836 0.126634
4680 0.128743 0.164592 -0.149286 0.144049
4685 0.136683 0.170393 -0.150499 0.156578
4690 0.136173 0.168989 -0.144105 0.161056
4695 0.127533 0.159283 -0.132203 0.154613
4700 0.111398 0.140729 -0.117113 0.135013
4705 0.0891558 0.113668 -0.101113 0.10171
4710 0.0631065 0.0793658 -0.0860383 0.0564341
4715 0.0365208 0.0394733 -0.0734059 0.00258818
4720 0.0127346 -0.00419382 -0.0643337 -0.0557929
4725 -0.00549487 -0.0495995 -0.0596039 -0.114698
4730 -0.016684 -0.0948501 -0.0597171 -0.171251
4735 -0.0207201 -0.138304 -0.0647816 -0.223806
4740 -0.0185914 -0.178577 -0.0740121 -0.271181
4745 -0.011801 -0.214135 -0.0858223 -0.311759
4750 -0.00160156 -0.243472 -0.0978644 -0.342938
4755 0.0111592 -0.265906 -0.107056 -0.361802
4760 0.0259421 -0.281464 -0.110214 -0.365736
4765 0.0423998 -0.290162 -0.105196 -0.352958
4770 0.060235 -0.29162 -0.0912845 -0.32267
4775 0.0792654 -0.285004 -0.0693302 -0.275068
4780 0.0990734 -0.269349 -0.0414314 -0.211707
4785 0.11874 -0.244085 -0.0101955 -0.135541
4790 0.136844 -0.209249 0.0217345 -0.0506708
4795 0.151519 -0.165159 0.0523577 0.0387181
4800 0.160266 -0.112688 0.080447 0.128025
4805 0.160056 -0.0534884 0.105127 0.211694
4810 0.148151 0.0100857 0.125815 0.284052
4815 0.122761 0.0749904 0.142309 0.34006
4820 0.0837076 0.137822 0.154671 0.376201
4825 0.0329765 0.194589 0.163051 0.390616
4830 -0.0255504 0.241 0.167494 0.382943
4835 -0.0868575 0.273727 0.167576 0.354445
4840 -0.145781 0.290931 0.162125 0.307275
4845 -0.197478 0.292283 0.149149 0.243955
