# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
16595 0.279025 -0.110528 0.0603787 0.228876
16600 0.270107 -0.105458 0.0423394 0.206987
16605 0.259372 -0.0967963 0.0223084 0.184884
16610 0.248096 -0.085793 0.00156881 0.163872
16615 0.237056 -0.0732013 -0.0190968 0.144758
16620 0.226781 -0.0591569 -0.0393905 0.128233
16625 0.217129 -0.0432389 -0.0593038 0.114587
16630 0.207963 -0.0247002 -0.0787044 0.104558
16635 0.199274 -0.00295013 -0.0966686 0.0996556
16640 0.190978 0.0220191 -0.111452 0.101545
16645 0.182774 0.0493705 -0.121021 0.111124
16650 0.174038 0.0774023 -0.123402 0.128038
16655 0.163552 0.104443 -0.117542 0.150454
16660 0.149805 0.128843 -0.10373 0.174918
16665 0.131321 0.148909 -0.0837352 0.196495
16670 0.10661 0.163367 -0.0601157 0.209861
16675 0.0752933 0.171527 -0.036115 0.210706
16680 0.0386264 0.173214 -0.0152589 0.196581
16685 -0.00146692 0.169117 -0.000105509 0.167545
16690 -0.0430436 0.160883 0.00845611 0.126295
16695 -0.0850331 0.150602 0.0110287 0.0765971
16700 -0.12737 0.140248 0.00943921 0.0223173
16705 -0.170086 0.131239 0.00599814 -0.0328491
16710 -0.212936 0.123898 0.00275175 -0.0862862
16715 -0.254728 0.117111 0.00111617 -0.136502
16720 -0.29305 0.108757 0.00206234 -0.18223
16725 -0.324683 0.0966232 0.00569402 -0.222366
16730 -0.346688 0.0791319 0.0113882 -0.256168
16735 -0.357209 0.055481 0.0178945 -0.283833
16740 -0.355467 0.0260047 0.0239019 -0.305561
16745 -0.341702 -0.00789449 0.0286489 -0.320948
16750 -0.316706 -0.0444802 0.0325158 -0.328671
16755 -0.281626 -0.0824104 0.0365772 -0.32746
16760 -0.237987 -0.120783 0.0421604 -0.316609
16765 -0.187721 -0.158871 0.0505384 -0.296054
16770 -0.132637 -0.195318 0.062559 -0.265397
16775 -0.0746275 -0.227958 0.0783716 -0.224214
16780 -0.0157875 -0.254041 0.0974426 -0.172386
16785 0.0417127 -0.270454 0.118089 -0.110652
16790 0.0958032 -0.274554 0.137669 -0.041082
16795 0.144546 -0.264979 0.153246 0.0328122
16800 0.185831 -0.241861 0.161904 0.105874
16805 0.217348 -0.206845 0.161048 0.171551
16810 0.237057 -0.162824 0.148771 0.223004
16815 0.243866 -0.112804 0.124574 0.255636
16820 0.237991 -0.0593735 0.0899427 0.268561
16825 0.2212 -0.00482345 0.0479006 0.264278
16830 0.196242 0.0486392 0.00242912 0.24731
16835 0.166309 0.0984452 -0.0421999 0.222554
16840 0.134855 0.141579 -0.0826075 0.193827
16845 0.104917 0.174657 -0.116854 0.16272
16850 0.0788399 0.194818 -0.143901 0.129756
16855 0.0586395 0.200648 -0.163272 0.0960156
16860 0.0458898 0.19255 -0.174936 0.0635044
16865 0.0411928 0.172928 -0.179293 0.0348271
16870 0.043824 0.145717 -0.17715 0.0123916
16875 0.0518488 0.115016 -0.169927 -0.00306195
16880 0.062516 0.0846278 -0.159941 -0.0127975
16885 0.0727288 0.0574141 -0.149834 -0.0196913
16890 0.079994 0.0351281 -0.141719 -0.0265968
16895 0.0824258 0.0186417 -0.136667 -0.0355993
16900 0.0788322 0.00823368 -0.135061 -0.0479954
16905 0.0689637 0.00378097 -0.13685 -0.0641054
16910 0.0534098 0.0045614 -0.141152 -0.0831813
16915 0.0329104 0.00949891 -0.146654 -0.104244
16920 0.008069 0.0169442 -0.151975 -0.126962
16925 -0.0199828 0.0248465 -0.156047 -0.151184
16930 -0.0490371 0.0311177 -0.15802 -0.175939
16935 -0.0761709 0.0339176 -0.157057 -0.19931
16940 -0.0985218 0.0320421 -0.152407 -0.218886
16945 -0.114059 0.0246023 -0.143274 -0.232731
16950 -0.122549 0.0109893 -0.128659 -0.240219
16955 -0.125281 -0.0081993 -0.107847 -0.241327
16960 -0.123912 -0.0315799 -0.080393 -0.235885
16965 -0.119802 -0.0577002 -0.0460893 -0.223592
16970 -0.113293 -0.0852818 -0.00513039 -0.203705
16975 -0.103954 -0.1134 0.041775 -0.175578
16980 -0.0911415 -0.141324 0.0932105 -0.139255
16985 -0.0746293 -0.168066 0.147008 -0.095687
16990 -0.055164 -0.192098 0.200661 -0.0466013
16995 -0.034809 -0.211402 0.252009 0.00579793
17000 -0.0160968 -0.223776 0.299255 0.0593819
17005 -0.00149346 -0.226967 0.340548 0.112087
17010 0.00677671 -0.218767 0.373997 0.162006
17015 0.00700324 -0.197679 0.39757 0.206895
17020 -0.00142736 -0.163477 0.409335 0.24443
17025 -0.0177809 -0.117083 0.407568 0.272704
17030 -0.0402623 -0.060764 0.391428 0.290401
17035 -0.0660222 0.00189697 0.361256 0.297131
17040 -0.09196 0.0664024 0.317903 0.292346
17045 -0.115598 0.127499 0.262569 0.274469
17050 -0.135128 0.180442 0.197066 0.24238
17055 -0.148801 0.221494 0.124138 0.196831
17060 -0.154583 0.247823 0.0472944 0.140534
17065 -0.150368 0.257386 -0.0292989 0.0777186
17070 -0.134764 0.249202 -0.101061 0.0133771
17075 -0.107643 0.223372 -0.163855 -0.0481254
17080 -0.0702699 0.18117 -0.2147 -0.1038
17085 -0.0251848 0.124955 -0.252307 -0.152537
17090 0.0244558 0.0582244 -0.276815 -0.194134
17095 0.0756825 -0.0143293 -0.289555 -0.228202
17100 0.126518 -0.0871487 -0.292549 -0.25318
17105 0.175486 -0.154666 -0.287819 -0.266998
17110 0.220972 -0.212332 -0.277091 -0.268451
17115 0.260958 -0.256866 -0.261799 -0.257707
17120 0.292762 -0.286202 -0.24339 -0.236831
17125 0.313794 -0.299251 -0.223304 -0.208761
17130 0.321803 -0.296207 -0.202934 -0.177338
17135 0.315375 -0.278598 -0.18325 -0.146474
17140 0.293961 -0.248509 -0.164735 -0.119282
17145 0.258009 -0.208461 -0.147294 -0.0977463
17150 0.208962 -0.161185 -0.130117 -0.08234
17155 0.149599 -0.10959 -0.111803 -0.0717944
17160 0.0838814 -0.0571053 -0.0906435 -0.0638674
17165 0.0160281 -0.00690659 -0.0650977 -0.0559761
17170 -0.050289 0.0387311 -0.0345834 -0.0461413
17175 -0.11197 0.0789464 0.000333049 -0.0326905
17180 -0.16625 0.114386 0.0376401 -0.0142236
17185 -0.210398 0.14606 0.0738852 0.00954744
17190 -0.241479 0.174859 0.105078 0.0384587
17195 -0.256962 0.201116 0.1279 0.0720548
17200 -0.255293 0.223863 0.140474 0.109044
17205 -0.235934 0.240969 0.142084 0.147119
17210 -0.200111 0.250448 0.133243 0.183579
17215 -0.151146 0.251467 0.115635 0.215957
17220 -0.0935917 0.244178 0.0917766 0.242363
17225 -0.0325017 0.229801 0.0647684 0.262068
17230 0.0275994 0.210488 0.0380082 0.276096
17235 0.0829146 0.188485 0.0152198 0.286619
17240 0.130704 0.165595 -0.000546097 0.295753
17245 0.169277 0.14319 -0.00759201 0.304874
17250 0.198047 0.121791 -0.0060644 0.313773
17255 0.217358 0.101419 0.00187368 0.320651
17260 0.228196 0.0821599 0.0131855 0.323542
17265 0.231979 0.0643974 0.0248596 0.321237
17270 0.229988 0.0483584 0.0347436 0.31309
17275 0.2226 0.0336201 0.0419217 0.298142
17280 0.209176 0.0194294 0.0462978 0.274903
17285 0.189096 0.0055857 0.048053 0.242735
17290 0.162048 -0.00773215 0.0469556 0.201271
17295 0.128021 -0.0204553 0.0424509 0.150017
17300 0.0875502 -0.0326066 0.0343512 0.0892948
17305 0.042334 -0.0443071 0.0227068 0.0207337
17310 -0.00465378 -0.055627 0.0082253 -0.0520555
17315 -0.0502936 -0.0663701 -0.00807151 -0.124735
17320 -0.0921773 -0.0760131 -0.0248612 -0.193052
17325 -0.128607 -0.0839941 -0.0406228 -0.253223
17330 -0.158151 -0.0899521 -0.0538557 -0.301959
17335 -0.180073 -0.0931872 -0.0627321 -0.335992
17340 -0.194809 -0.0926746 -0.0649868 -0.35247
17345 -0.203832 -0.0877275 -0.0587447 -0.350304
17350 -0.209297 -0.0780106 -0.0430362 -0.330344
17355 -0.213521 -0.0635435 -0.0180588 -0.295123
17360 -0.218942 -0.0447386 0.0146164 -0.249064
17365 -0.227481 -0.0225274 0.0521165 -0.197892
17370 -0.239571 0.00188599 0.0911279 -0.146557
17375 -0.25414 0.0268305 0.128356 -0.0989543
17380 -0.269262 0.0505958 0.160922 -0.0577448
17385 -0.282485 0.0720395 0.186615 -0.0238308
17390 -0.291153 0.0905778 0.203588 0.00301338
17395 -0.292743 0.106022 0.209733 0.0230129
17400 -0.28547 0.1184 0.203363 0.0362928
17405 -0.268495 0.12726 0.184002 0.0427659
17410 -0.241568 0.131894 0.152744 0.0430698
17415 -0.205108 0.131079 0.11206 0.0380311
17420 -0.160359 0.123558 0.0647903 0.0279886
17425 -0.109193 0.108674 0.0138279 0.013309
17430 -0.0537041 0.0867447 -0.0381578 -0.00511722
17435 0.00363495 0.0586456 -0.0884703 -0.0261898
17440 0.0607567 0.0255262 -0.13459 -0.0483073
17445 0.116109 -0.0108531 -0.174132 -0.0688766
17450 0.168295 -0.0482345 -0.204837 -0.0847764
17455 0.216056 -0.0843304 -0.225054 -0.0933285
17460 0.25828 -0.117413 -0.233781 -0.0929142
17465 0.293659 -0.146292 -0.230697 -0.0833301
17470 0.320442 -0.169933 -0.216136 -0.0656272
17475 0.337064 -0.187539 -0.191158 -0.0416327
17480 0.342815 -0.198873 -0.157713 -0.0137707
17485 0.338005 -0.204146 -0.118524 0.0153361
17490 0.32378 -0.203893 -0.076963 0.0429239
17495 0.30183 -0.198512 -0.0365394 0.0667787
17500 0.273922 -0.188218 -0.000177542 0.0855271
17505 0.241538 -0.172829 0.0301471 0.0988558
17510 0.205795 -0.151992 0.0538289 0.107633
17515 0.167377 -0.125819 0.0709055 0.112463
17520 0.126819 -0.0953434 0.0814414 0.112917
17525 0.0851517 -0.062214 0.0860213 0.108959
17530 0.0433459 -0.0283294 0.0858981 0.100915
17535 0.00218066 0.00492517 0.0831795 0.0902853
17540 -0.0376817 0.0365463 0.0802808 0.0791454
17545 -0.0754172 0.0657336 0.0795708 0.0698872
17550 -0.109534 0.0913512 0.0825075 0.0643248
17555 -0.138025 0.111591 0.0890639 0.0626302
17560 -0.158308 0.12396 0.0980362 0.0636883
17565 -0.167981 0.125848 0.107573 0.0654405
17570 -0.165936 0.115023 0.115843 0.06493
17575 -0.152489 0.0908655 0.121097 0.0594732
17580 -0.129611 0.0549728 0.122459 0.047821
17585 -0.100672 0.0106563 0.119834 0.0298184
17590 -0.0698705 -0.0377035 0.113292 0.00571798
17595 -0.0410429 -0.085533 0.102358 -0.0242182
17600 -0.0168587 -0.128669 0.0860894 -0.0594388
17605 0.00126931 -0.163963 0.0639268 -0.0987668
17610 0.0128325 -0.189503 0.0360311 -0.14064
17615 0.0178269 -0.204522 0.00326671 -0.183428
17620 0.0166027 -0.209006 -0.0325325 -0.224936
17625 0.0097731 -0.203394 -0.0687611 -0.262382
17630 -0.00143377 -0.188101 -0.102611 -0.292145
17635 -0.015345 -0.16356 -0.131758 -0.310664
17640 -0.0298885 -0.130381 -0.154472 -0.314742
17645 -0.0428551 -0.0893075 -0.169399 -0.301561
17650 -0.0520519 -0.04168 -0.175331 -0.269063
17655 -0.0553422 0.0107603 -0.171485 -0.216067
17660 -0.0510859 0.0658922 -0.157631 -0.142825
17665 -0.0383987 0.120878 -0.134608 -0.0521289
17670 -0.0177014 0.172343 -0.104404 0.0502381
17675 0.00959815 0.216868 -0.0696889 0.156777
17680 0.041183 0.25138 -0.0332664 0.259296
17685 0.074191 0.273765 0.00195479 0.349911
17690 0.105843 0.282883 0.0334444 0.42217
17695 0.133466 0.278833 0.0592137 0.471513
17700 0.154512 0.26284 0.0782425 0.495595
17705 0.167037 0.237221 0.09051 0.494768
17710 0.169692 0.205001 0.0967742 0.471467
17715 0.161679 0.169108 0.098274 0.429061
17720 0.143187 0.13159 0.0961162 0.370893
17725 0.115358 0.0939411 0.0916075 0.300906
17730 0.0798131 0.0576745 0.0858164 0.223304
17735 0.0387519 0.0239802 0.0791093 0.141841
17740 -0.00513942 -0.00683252 0.0714579 0.059486
17745 -0.0487172 -0.034934 0.063169 -0.0204821
17750 -0.0887065 -0.0611083 0.0544235 -0.0953914
17755 -0.122107 -0.0864272 0.0453228 -0.163212
17760 -0.146641 -0.111292 0.0358523 -0.222081
17765 -0.161031 -0.135102 0.0258325 -0.270301
17770 -0.165037 -0.156372 0.014918 -0.306491
17775 -0.159447 -0.173711 0.00305919 -0.330098
17780 -0.145629 -0.186156 -0.00983077 -0.341615
17785 -0.125437 -0.193286 -0.0241229 -0.342846
17790 -0.101157 -0.195277 -0.0399457 -0.33638
17795 -0.0749798 -0.192232 -0.0565953 -0.323807
17800 -0.0492387 -0.184105 -0.0723438 -0.305688
17805 -0.0263952 -0.170744 -0.0844603 -0.281599
17810 -0.00869448 -0.151613 -0.089976 -0.250283
17815 0.00244664 -0.125992 -0.0864301 -0.209975
17820 0.00653526 -0.0933556 -0.072616 -0.159436
17825 0.00371916 -0.0538021 -0.0489647 -0.0990477
17830 -0.00517059 -0.00835074 -0.0167948 -0.0303161
17835 -0.0193507 0.0407437 0.0215499 0.0429429
17840 -0.037939 0.0901343 0.0625698 0.114765
17845 -0.059648 0.135562 0.102138 0.178052
17850 -0.0826016 0.172975 0.13579 0.226164
17855 -0.10456 0.199575 0.159057 0.254072
17860 -0.123461 0.214378 0.168376 0.259293
17865 -0.137138 0.218235 0.161829 0.242925
17870 -0.143513 0.213172 0.139287 0.208946
17875 -0.141134 0.201538 0.10268 0.163085
17880 -0.128875 0.185465 0.0559201 0.11251
17885 -0.105961 0.166279 0.00412021 0.0644386
17890 -0.0723009 0.144938 -0.0474528 0.0251838
17895 -0.0287436 0.122684 -0.0944533 -0.000512766
17900 0.0224507 0.100931 -0.134075 -0.0106931
17905 0.0775176 0.0809881 -0.165061 -0.00655512
17910 0.131691 0.0636071 -0.187117 0.00818066
17915 0.180033 0.0485858 -0.20011 0.0285087
17920 0.218233 0.0346613 -0.203821 0.0490738
17925 0.243023 0.0199025 -0.197741 0.0651839
17930 0.253064 0.00208629 -0.181317 0.0738326
17935 0.248902 -0.0207641 -0.154557 0.0735817
17940 0.232359 -0.0495359 -0.118703 0.0641196
17945 0.20615 -0.0836658 -0.0760906 0.0463936
17950 0.173435 -0.12125 -0.0300064 0.0221786
17955 0.137314 -0.159332 0.0154684 -0.00654925
17960 0.100341 -0.194504 0.0563113 -0.0378521
17965 0.0642505 -0.223528 0.0894073 -0.0698699
17970 0.0300126 -0.244021 0.1127 -0.101309
17975 -0.00214656 -0.254855 0.125648 -0.131354
17980 -0.0323135 -0.255714 0.129206 -0.158822
17985 -0.060992 -0.247027 0.125473 -0.182546
17990 -0.0883725 -0.229885 0.116447 -0.20181
17995 -0.113894 -0.206083 0.103882 -0.216095
18000 -0.136866 -0.177888 0.0893124 -0.225442
18005 -0.156784 -0.147346 0.0740842 -0.230045
18010 -0.173059 -0.116133 0.0593244 -0.229867
18015 -0.185196 -0.0850339 0.046167 -0.224062
18020 -0.192734 -0.0540831 0.0356652 -0.211152
18025 -0.194904 -0.0227356 0.0283087 -0.189331
18030 -0.190352 0.00916523 0.0239673 -0.15722
18035 -0.177977 0.0409642 0.0223793 -0.114633
18040 -0.15781 0.0710592 0.0232411 -0.0635098
18045 -0.130739 0.0976156 0.0259103 -0.00721273
18050 -0.0979524 0.119082 0.029799 0.0509282
18055 -0.0608414 0.134439 0.0346137 0.108211
18060 -0.0204634 0.143203 0.0399684 0.162708
18065 0.022213 0.145634 0.0451272 0.212974
18070 0.0659629 0.14277 0.049267 0.258
18075 0.109168 0.135372 0.0515277 0.296069
18080 0.149731 0.124165 0.0514368 0.325333
18085 0.185447 0.109981 0.0489795 0.344408
18090 0.214448 0.0938151 0.0443705 0.352634
18095 0.235087 0.0770865 0.0379048 0.350078
18100 0.246205 0.0613479 0.0295943 0.337147
18105 0.247727 0.0477213 0.018796 0.314244
18110 0.240682 0.0366792 0.00453559 0.281897
18115 0.226827 0.0276766 -0.0137034 0.2408
18120 0.208497 0.0196235 -0.0350943 0.193026
18125 0.187876 0.0116971 -0.0575531 0.14202
18130 0.166137 0.0037392 -0.0784581 0.0914179
18135 0.143076 -0.00345325 -0.0954178 0.0442047
18140 0.117715 -0.00865535 -0.106972 0.00208749
18145 0.0890725 -0.0106105 -0.112759 -0.0342972
18150 0.0565056 -0.00843389 -0.113443 -0.065371
18155 0.0203469 -0.00184997 -0.110625 -0.0921277
18160 -0.0177263 0.00873469 -0.106033 -0.115024
18165 -0.0551103 0.0227028 -0.101477 -0.133885
18170 -0.0893567 0.0392152 -0.0988278 -0.148969
18175 -0.11804 0.0572317 -0.0997431 -0.160552
18180 -0.139226 0.0763552 -0.105424 -0.168294
18185 -0.152318 0.0967532 -0.116057 -0.171622
18190 -0.157832 0.118407 -0.130723 -0.170149
18195 -0.156863 0.140733 -0.147219 -0.163349
18200 -0.150809 0.162352 -0.162715 -0.151172
18205 -0.141469 0.181728 -0.174808 -0.134549
18210 -0.131046 0.197677 -0.181629 -0.114998
18215 -0.121827 0.208939 -0.181821 -0.09471
18220 -0.11572 0.213929 -0.174644 -0.0764349
18225 -0.113872 0.211412 -0.160125 -0.0625846
18230 -0.116503 0.200252 -0.139172 -0.0554241
18235 -0.123112 0.179629 -0.11315 -0.0566332
18240 -0.132185 0.149027 -0.0831972 -0.0663554
18245 -0.141374 0.108235 -0.0503889 -0.0835283
18250 -0.148657 0.0580309 -0.015885 -0.106511
18255 -0.152952 0.000711352 0.0194733 -0.132767
18260 -0.154258 -0.0604585 0.0549921 -0.159724
18265 -0.153363 -0.12193 0.0898134 -0.185479
18270 -0.151156 -0.179526 0.122399 -0.208284
18275 -0.147789 -0.228287 0.150745 -0.225331
18280 -0.142581 -0.263367 0.173147 -0.2328
18285 -0.134095 -0.281564 0.188802 -0.226857
18290 -0.120994 -0.2815 0.197672 -0.204822
18295 -0.102336 -0.264425 0.200305 -0.166456
18300 -0.0780842 -0.233529 0.197586 -0.114027
18305 -0.0492814 -0.192996 0.190394 -0.0518825
18310 -0.0171532 -0.147269 0.179262 0.0148398
18315 0.0169946 -0.10022 0.164585 0.0813594
18320 0.0514586 -0.0542647 0.147333 0.144527
18325 0.0843312 -0.0109039 0.129092 0.20252
18330 0.114155 0.028807 0.111498 0.254459
18335 0.140606 0.0641469 0.0955883 0.300342
18340 0.163963 0.0943424 0.0816518 0.339957
18345 0.184494 0.118211 0.069252 0.371957
18350 0.202303 0.134466 0.0570033 0.393772
18355 0.217459 0.142055 0.0429438 0.402458
18360 0.229677 0.140842 0.0255879 0.396107
18365 0.238243 0.131493 0.00447762 0.374214
18370 0.242362 0.115068 -0.0196593 0.337771
18375 0.24077 0.0928961 -0.0449429 0.288723
18380 0.231849 0.0667256 -0.0687318 0.229843
18385 0.214157 0.0386343 -0.0879801 0.164811
18390 0.187212 0.0109229 -0.0999164 0.0982181
18395 0.151864 -0.013784 -0.102612 0.0354681
18400 0.110229 -0.0330673 -0.0954135 -0.0182516
18405 0.0653151 -0.0456243 -0.0793726 -0.0596818
18410 0.0204106 -0.0514994 -0.0574473 -0.0885362
18415 -0.0214866 -0.0516082 -0.0338808 -0.106976
18420 -0.0579488 -0.0475852 -0.0139013 -0.119435
18425 -0.087152 -0.04161 -0.00252381 -0.131286
18430 -0.108154 -0.0366266 -0.00354436 -0.148325
18435 -0.120962 -0.0355992 -0.0186561 -0.175217
18440 -0.126177 -0.0411566 -0.047549 -0.214883
18445 -0.124909 -0.0554505 -0.0881613 -0.268521
18450 -0.118686 -0.0791936 -0.136555 -0.334435
18455 -0.10912 -0.110984 -0.18726 -0.407364
18460 -0.097627 -0.147628 -0.234702 -0.479957
18465 -0.0849914 -0.185529 -0.273849 -0.544369
18470 -0.071663 -0.221259 -0.300509 -0.593431
18475 -0.0580933 -0.251892 -0.311355 -0.62134
18480 -0.0449067 -0.275313 -0.303991 -0.624211
18485 -0.0337326 -0.289989 -0.277271 -0.600993
18490 -0.0263588 -0.294829 -0.231614 -0.552802
18495 -0.023987 -0.288874 -0.16896 -0.48182
18500 -0.0272183 -0.271391 -0.0927996 -0.391409
18505 -0.0363112 -0.242282 -0.00806515 -0.286658
18510 -0.0511054 -0.202764 0.0794027 -0.174466
18515 -0.0706374 -0.155261 0.16392 -0.0619789
18520 -0.0931725 -0.102704 0.240809 0.0449319
18525 -0.116388 -0.0479828 0.306835 0.142464
18530 -0.137233 0.00645168 0.360322 0.229541
18535 -0.152472 0.0591876 0.400383 0.307098
18540 -0.159458 0.109887 0.426391 0.37682
18545 -0.156706 0.158554 0.437526 0.439373
18550 -0.143961 0.204862 0.432415 0.493316
18555 -0.121609 0.247523 0.409562 0.535477
18560 -0.090865 0.283894 0.36801 0.561039
18565 -0.053679 0.310512 0.30841 0.565243
18570 -0.0128246 0.323699 0.233452 0.544326
18575 0.0286308 0.320413 0.147985 0.497029
18580 0.0679081 0.299548 0.0583678 0.425823
18585 0.102754 0.262196 -0.028512 0.336438
18590 0.131804 0.211504 -0.106246 0.237062
18595 0.154678 0.151803 -0.169587 0.136893
18600 0.171741 0.0877264 -0.214699 0.0447688
18605 0.183335 0.0241749 -0.239139 -0.0316289
18610 0.189293 -0.0340975 -0.242314 -0.0871187
18615 0.189105 -0.0835948 -0.225539 -0.120029
18620 0.181999 -0.122455 -0.191721 -0.132177
18625 0.167164 -0.150092 -0.145156 -0.128085
18630 0.144481 -0.16732 -0.091009 -0.113848
18635 0.11463 -0.176344 -0.0348967 -0.0966113
18640 0.0787111 -0.179826 0.0180062 -0.0831086
18645 0.038804 -0.18019 0.0633416 -0.0780445
18650 -0.00189067 -0.179347 0.0979144 -0.083323
18655 -0.0397504 -0.178331 0.120197 -0.0978842
18660 -0.0713034 -0.177279 0.130211 -0.118372
18665 -0.0940156 -0.17569 0.12894 -0.140766
18670 -0.106777 -0.172248 0.117907 -0.161119
18675 -0.109536 -0.165286 0.0984629 -0.176359
18680 -0.102705 -0.153292 0.0719914 -0.184006
18685 -0.0865254 -0.134808 0.040493 -0.180841
18690 -0.0610214 -0.108928 0.00648039 -0.163469
18695 -0.0266071 -0.0758728 -0.0272848 -0.129765
18700 0.0152946 -0.0364792 -0.0583301 -0.0795146
18705 0.0619853 0.00729878 -0.0846799 -0.0153958
18710 0.110344 0.0524934 -0.105327 0.0575104
18715 0.156928 0.0960872 -0.120223 0.132793
18720 0.197919 0.135507 -0.129608 0.203818
18725 0.22947 0.168482 -0.133471 0.264481
18730 0.247916 0.193229 -0.131599 0.309546
18735 0.250301 0.208753 -0.124442 0.334612
18740 0.234815 0.214595 -0.113038 0.336373
18745 0.201455 0.211054 -0.0992281 0.313281
18750 0.152318 0.19913 -0.0849129 0.266535
18755 0.0915194 0.180579 -0.0712964 0.200802
18760 0.0245972 0.157641 -0.0582545 0.123984
18765 -0.0425777 0.132645 -0.0448013 0.0452661
18770 -0.104394 0.10742 -0.030056 -0.0270303
18775 -0.156124 0.0831644 -0.0130665 -0.0860258
18780 -0.194063 0.0602252 0.00696144 -0.126876
18785 -0.215434 0.0382733 0.029984 -0.147177
18790 -0.218937 0.0167628 0.0555958 -0.146579
18795 -0.205076 -0.00496836 0.0834488 -0.126595
18800 -0.176041 -0.0274599 0.113003 -0.0904978
18805 -0.135334 -0.0508317 0.142927 -0.0432382
18810 -0.0872994 -0.0753232 0.17096 0.00833743
18815 -0.0366287 -0.101151 0.193819 0.0560393
18820 0.0123023 -0.12767 0.207788 0.0924204
18825 0.0558074 -0.153319 0.209615 0.112103
18830 0.0913187 -0.175936 0.197034 0.112417
18835 0.117297 -0.192996 0.169656 0.0939582
18840 0.133162 -0.202586 0.128853 0.059429
18845 0.139076 -0.203657 0.0775971 0.0130153
18850 0.135646 -0.19607 0.0198091 -0.040615
18855 0.123914 -0.180616 -0.040371 -0.0970728
18860 0.105161 -0.159218 -0.0988583 -0.152916
18865 0.0809505 -0.133878 -0.151946 -0.204874
18870 0.0530357 -0.105922 -0.196746 -0.249632
18875 0.0233353 -0.0758154 -0.230981 -0.283462
18880 -0.00535326 -0.0434721 -0.252712 -0.301537
18885 -0.0297912 -0.00908765 -0.260797 -0.299676
18890 -0.0474352 0.0262888 -0.25505 -0.276196
18895 -0.0568993 0.0614557 -0.236477 -0.231921
18900 -0.0579806 0.0955134 -0.207258 -0.169726
18905 -0.0521297 0.128143 -0.170456 -0.0944429
18910 -0.0422195 0.159931 -0.129455 -0.0117441
18915 -0.0320582 0.192111 -0.0870131 0.0730395
18920 -0.0251342 0.225485 -0.044879 0.155472
18925 -0.0237539 0.259785 -0.00441739 0.231613
18930 -0.0290668 0.293308 0.0334001 0.297642
18935 -0.0412942 0.323816 0.0675361 0.350057
18940 -0.059636 0.348649 0.0966573 0.385671
18945 -0.0819415 0.364592 0.119965 0.402616
18950 -0.105245 0.368539 0.137249 0.400543
18955 -0.126809 0.358412 0.148637 0.38024
18960 -0.144684 0.333522 0.154124 0.342961
18965 -0.158247 0.294624 0.153142 0.289519
18970 -0.168251 0.243338 0.14512 0.220206
18975 -0.17633 0.181765 0.129866 0.1353
18980 -0.184149 0.112068 0.107985 0.035904
18985 -0.192358 0.0366714 0.0809548 -0.0747317
18990 -0.200476 -0.0411667 0.0507086 -0.190934
18995 -0.207051 -0.117404 0.0192811 -0.305175
19000 -0.210078 -0.187517 -0.011247 -0.408842
19005 -0.207451 -0.246875 -0.0391435 -0.493469
19010 -0.197417 -0.291561 -0.0630061 -0.551984
19015 -0.178901 -0.31912 -0.0813883 -0.57941
19020 -0.151544 -0.329092 -0.0929762 -0.573612
19025 -0.115657 -0.322884 -0.0971559 -0.535697
19030 -0.0719803 -0.303012 -0.0941047 -0.469097
19035 -0.0218111 -0.272431 -0.0846806 -0.378923
19040 0.0329267 -0.233378 -0.0699421 -0.270393
19045 0.0900371 -0.18811 -0.0516248 -0.149697
19050 0.147121 -0.139029 -0.0316956 -0.0236034
19055 0.201512 -0.0885525 -0.011778 0.101181
19060 0.250876 -0.0389839 0.00705078 0.218943
19065 0.293174 0.00744342 0.0242034 0.324821
19070 0.32653 0.0485134 0.0393348 0.414378
19075 0.349185 0.0822287 0.05221 0.483624
19080 0.360087 0.106843 0.06313 0.53006
19085 0.358681 0.120723 0.0728358 0.55224
19090 0.345174 0.122759 0.081639 0.549572
19095 0.320723 0.112953 0.0895725 0.523248
19100 0.287216 0.0924032 0.0963102 0.475929
19105 0.246652 0.0628915 0.101648 0.411192
19110 0.201004 0.0272689 0.105452 0.333725
19115 0.151813 -0.0100856 0.107251 0.248978
19120 0.100295 -0.0443622 0.106421 0.162354
19125 0.0478967 -0.0708925 0.102334 0.079338
19130 -0.00366976 -0.0857352 0.0945947 0.00518977
19135 -0.0525813 -0.086312 0.0835796 -0.0553137
19140 -0.0975881 -0.0721187 0.0705191 -0.0991878
19145 -0.137961 -0.0445526 0.0569986 -0.125515
19150 -0.173216 -0.00648191 0.0444682 -0.135229
19155 -0.20302 0.0385847 0.0338849 -0.13055
19160 -0.227033 0.0873924 0.0254352 -0.114205
19165 -0.244726 0.136919 0.018241 -0.089566
19170 -0.255561 0.183896 0.0107776 -0.0608874
19175 -0.258563 0.224728 0.00143945 -0.032396
19180 -0.25256 0.254997 -0.0111215 -0.00868419
19185 -0.237044 0.270733 -0.0276313 0.00605724
19190 -0.212514 0.269549 -0.0480084 0.00902744
19195 -0.180414 0.251107 -0.0713863 -0.000693546
19200 -0.142745 0.216993 -0.09626 -0.0220123
19205 -0.101518 0.170401 -0.120811 -0.0519286
19210 -0.0586384 0.115484 -0.142649 -0.0858036
19215 -0.0159891 0.057134 -0.159228 -0.118083
19220 0.0249319 0.000534938 -0.168095 -0.142628
